GO_Accession	GO_term_name	GO domain	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0042517	positive regulation of tyrosine phosphorylation of Stat3 protein	biological_process	0.000258214	4	12	"ENSAPLT00000013725, ENSAPLT00000004290, ENSAPLT00000011401, ENSAPLT00000012265"	"ISL1, KIT, CRLF1, IL31RA"
GO:0031532	actin cytoskeleton reorganization	biological_process	0.000334774	6	34	"ENSAPLT00000011317, ENSAPLT00000004290, ENSAPLT00000013146, ENSAPLT00000003494, ENSAPLT00000003284, ENSAPLT00000003489"	"FER, KIT, PHACTR1, PARVG, FGF10, PARVG"
GO:0031624	ubiquitin conjugating enzyme binding	molecular_function	0.00071693	3	7	"ENSAPLT00000009693, ENSAPLT00000013797, ENSAPLT00000011118"	"RNF180, MARCH6, PPARA"
GO:0021524	visceral motor neuron differentiation	biological_process	0.000793924	2	2	"ENSAPLT00000013725, ENSAPLT00000011528"	"ISL1, TBX20"
GO:0032925	regulation of activin receptor signaling pathway	biological_process	0.000793924	2	2	"ENSAPLT00000003284, ENSAPLT00000001256"	"FGF10, SMAD7"
GO:0038109	Kit signaling pathway	biological_process	0.000793924	2	2	"ENSAPLT00000011317, ENSAPLT00000004290"	"FER, KIT"
GO:0008484	sulfuric ester hydrolase activity	molecular_function	0.000867956	4	16	"ENSAPLT00000009736, ENSAPLT00000010370, ENSAPLT00000008600, ENSAPLT00000008601"	"ARSB, STS, ARSJ, ARSA"
GO:0030544	Hsp70 protein binding	molecular_function	0.000867956	4	16	"ENSAPLT00000016451, ENSAPLT00000004354, ENSAPLT00000010685, ENSAPLT00000016642"	"DNAJA1, STUB1, PACRG, GPR37"
GO:0051482	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway	biological_process	0.001123115	3	8	"ENSAPLT00000010445, ENSAPLT00000013225, ENSAPLT00000003400"	"LPAR1, EDN1, RXFP3"
GO:0070493	thrombin receptor signaling pathway	biological_process	0.001123115	3	8	"ENSAPLT00000003170, ENSAPLT00000004601, ENSAPLT00000001014"	"IQGAP2, F2RL2, F2R"
GO:0035025	positive regulation of Rho protein signal transduction	biological_process	0.001649515	3	9	"ENSAPLT00000010445, ENSAPLT00000006058, ENSAPLT00000001014"	"LPAR1, ARRB1, F2R"
GO:0046907	intracellular transport	biological_process	0.002307342	3	10	"ENSAPLT00000008418, ENSAPLT00000008414, ENSAPLT00000010491"	"RANBP3L, RANBP3L, RANBP3"
