GO_Accession	GO_term_name	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0042517	positive regulation of tyrosine phosphorylation of Stat3 protein	6.29E-05	4	12	ENSAPLT00000013725, ENSAPLT00000012265, ENSAPLT00000011401, ENSAPLT00000012487	ISL1, IL31RA, CRLF1, IL6ST
GO:0032925	regulation of activin receptor signaling pathway	0.000381864	2	2	ENSAPLT00000003284, ENSAPLT00000001256	FGF10, SMAD7
GO:0051482	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway	0.000386558	3	8	ENSAPLT00000013225, ENSAPLT00000003400, ENSAPLT00000010445	EDN1, RXFP3, LPAR1
GO:0009597	detection of virus	0.00113074	2	3	ENSAPLT00000006027, ENSAPLT00000015756	SERINC5, DDX58
GO:0070779	D-aspartate import	0.00113074	2	3	ENSAPLT00000015672, ENSAPLT00000007816	SLC1A1, SLC1A3
GO:0003338	metanephros morphogenesis	0.002232207	2	4	ENSAPLT00000003284, ENSAPLT00000011034	FGF10, WNT7B
GO:0051938	L-glutamate import	0.002232207	2	4	ENSAPLT00000015672, ENSAPLT00000007816	SLC1A1, SLC1A3
GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	0.003441473	3	16	ENSAPLT00000003284, ENSAPLT00000010670, ENSAPLT00000001385	FGF10, GDNF, CX3CR1
GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	0.003672265	2	5	ENSAPLT00000013725, ENSAPLT00000015756	ISL1, DDX58
GO:0060541	respiratory system development	0.003672265	2	5	ENSAPLT00000003284, ENSAPLT00000012065	FGF10, SPRY2
GO:0007368	determination of left/right symmetry	0.003701028	5	53	ENSAPLT00000005917, ENSAPLT00000015651, ENSAPLT00000003284, ENSAPLT00000010700, ENSAPLT00000014364	AP1B1, PCSK5, FGF10, DPCD, IFT74
GO:0021522	spinal cord motor neuron differentiation	0.004118929	3	17	ENSAPLT00000013725, ENSAPLT00000013331, ENSAPLT00000015323	ISL1, PTCH1, LMO4
GO:0060425	lung morphogenesis	0.004118929	3	17	ENSAPLT00000003284, ENSAPLT00000011034, ENSAPLT00000012065	FGF10, WNT7B, SPRY2
GO:0035235	ionotropic glutamate receptor signaling pathway	0.004871816	3	18	ENSAPLT00000008306, ENSAPLT00000012651, ENSAPLT00000004160	GRIN3A, GRIA4, GRIN2A
GO:0055010	ventricular cardiac muscle tissue morphogenesis	0.004871816	3	18	ENSAPLT00000013725, ENSAPLT00000001256, ENSAPLT00000010766	ISL1, SMAD7, PTCD2
GO:0009953	dorsal/ventral pattern formation	0.005175988	4	36	ENSAPLT00000013331, ENSAPLT00000009928, ENSAPLT00000013225, ENSAPLT00000001777	PTCH1, CHRD, EDN1, unknow
GO:0010801	negative regulation of peptidyl-threonine phosphorylation	0.005437324	2	6	ENSAPLT00000012065, ENSAPLT00000001256	SPRY2, SMAD7
GO:0042428	serotonin metabolic process	0.005437324	2	6	ENSAPLT00000009693, ENSAPLT00000004160	RNF180, GRIN2A
GO:0060428	lung epithelium development	0.005437324	2	6	ENSAPLT00000003284, ENSAPLT00000011034	FGF10, WNT7B
GO:0019221	cytokine-mediated signaling pathway	0.006291264	4	38	ENSAPLT00000011317, ENSAPLT00000012487, ENSAPLT00000012220, ENSAPLT00000001385	FER, IL6ST, GHR, CX3CR1
GO:0006289	nucleotide-excision repair	0.006612645	3	20	ENSAPLT00000010641, ENSAPLT00000014118, ENSAPLT00000013069	POLL, FANCC, RAD23B
GO:0030593	neutrophil chemotaxis	0.006612645	3	20	ENSAPLT00000009697, ENSAPLT00000013907, ENSAPLT00000005615	ITGA9, ITGA1, PDE4D
GO:0050680	negative regulation of epithelial cell proliferation	0.006904267	4	39	ENSAPLT00000013331, ENSAPLT00000014280, ENSAPLT00000014364, ENSAPLT00000001777	PTCH1, MCC, IFT74, unknow
GO:0010460	positive regulation of heart rate	0.007514194	2	7	ENSAPLT00000015672, ENSAPLT00000013225	SLC1A1, EDN1
GO:0048016	inositol phosphate-mediated signaling	0.007514194	2	7	ENSAPLT00000015781, ENSAPLT00000013225	ITPR2, EDN1
GO:0060449	bud elongation involved in lung branching	0.007514194	2	7	ENSAPLT00000003284, ENSAPLT00000012065	FGF10, SPRY2
GO:0035108	limb morphogenesis	0.00983877	3	23	ENSAPLT00000015651, ENSAPLT00000003284, ENSAPLT00000013331	PCSK5, FGF10, PTCH1
GO:0001676	long-chain fatty acid metabolic process	0.009890073	2	8	ENSAPLT00000005242, ENSAPLT00000005525	SLC27A6, SLC27A3
GO:0006835	dicarboxylic acid transport	0.009890073	2	8	ENSAPLT00000015672, ENSAPLT00000007816	SLC1A1, SLC1A3
GO:0070102	interleukin-6-mediated signaling pathway	0.009890073	2	8	ENSAPLT00000011317, ENSAPLT00000012487	FER, IL6ST
GO:0070493	thrombin receptor signaling pathway	0.009890073	2	8	ENSAPLT00000001014, ENSAPLT00000003170	F2R, IQGAP2
GO:0009611	response to wounding	0.012416045	3	25	ENSAPLT00000001014, ENSAPLT00000007816, ENSAPLT00000004160	F2R, SLC1A3, GRIN2A
GO:0001516	prostaglandin biosynthetic process	0.012552537	2	9	ENSAPLT00000014480, ENSAPLT00000013225	PTGS2, EDN1
GO:0031290	retinal ganglion cell axon guidance	0.012552537	2	9	ENSAPLT00000013725, ENSAPLT00000006486	ISL1, EFNA5
GO:0035025	positive regulation of Rho protein signal transduction	0.012552537	2	9	ENSAPLT00000001014, ENSAPLT00000010445	F2R, LPAR1
GO:0061029	eyelid development in camera-type eye	0.012552537	2	9	ENSAPLT00000004798, ENSAPLT00000009828	INHBA, MAP3K1
GO:0089711	L-glutamate transmembrane transport	0.012552537	2	9	ENSAPLT00000015672, ENSAPLT00000007816	SLC1A1, SLC1A3
GO:0006816	calcium ion transport	0.013377614	5	72	ENSAPLT00000008306, ENSAPLT00000015781, ENSAPLT00000004834, ENSAPLT00000010287, ENSAPLT00000004160	GRIN3A, ITPR2, SLC24A2, PLCZ1, GRIN2A
GO:0008544	epidermis development	0.015344059	3	27	ENSAPLT00000003284, ENSAPLT00000013331, ENSAPLT00000014364	FGF10, PTCH1, IFT74
GO:0015813	L-glutamate transport	0.015489534	2	10	ENSAPLT00000015672, ENSAPLT00000007816	SLC1A1, SLC1A3
GO:0021591	ventricular system development	0.015489534	2	10	ENSAPLT00000010700, ENSAPLT00000014588	DPCD, TTN
GO:0043616	keratinocyte proliferation	0.015489534	2	10	ENSAPLT00000003284, ENSAPLT00000013331	FGF10, PTCH1
GO:0044262	cellular carbohydrate metabolic process	0.015489534	2	10	ENSAPLT00000001219, ENSAPLT00000017126	GLB1, LDHB
GO:0051642	centrosome localization	0.015489534	2	10	ENSAPLT00000003604, ENSAPLT00000015153	PARD3, SEMA6A
GO:2001241	positive regulation of extrinsic apoptotic signaling pathway in absence of ligand	0.015489534	2	10	ENSAPLT00000004798, ENSAPLT00000009685	INHBA, WWOX
GO:0030326	embryonic limb morphogenesis	0.01636046	4	50	ENSAPLT00000016974, ENSAPLT00000013331, ENSAPLT00000016966, ENSAPLT00000001229	DLX5, PTCH1, DLX6, ALX1
GO:0032496	response to lipopolysaccharide	0.017486706	4	51	ENSAPLT00000011317, ENSAPLT00000011198, ENSAPLT00000001014, ENSAPLT00000007952	FER, PLCG2, F2R, HSF1
GO:0030317	sperm motility	0.018628067	3	29	ENSAPLT00000012138, ENSAPLT00000010700, ENSAPLT00000016451	DDX4, DPCD, DNAJA1
GO:0001519	peptide amidation	0.019572726	1	1	ENSAPLT00000010027	PAM
GO:0001941	postsynaptic membrane organization	0.019572726	1	1	ENSAPLT00000010670	GDNF
GO:0002001	renin secretion into blood stream	0.019572726	1	1	ENSAPLT00000015651	PCSK5
GO:0002282	microglial cell activation involved in immune response	0.019572726	1	1	ENSAPLT00000001385	CX3CR1
GO:0002316	follicular B cell differentiation	0.019572726	1	1	ENSAPLT00000011198	PLCG2
GO:0002438	acute inflammatory response to antigenic stimulus	0.019572726	1	1	ENSAPLT00000012265	IL31RA
GO:0006518	peptide metabolic process	0.019572726	1	1	ENSAPLT00000010027	PAM
GO:0006742	NADP catabolic process	0.019572726	1	1	ENSAPLT00000010883	NUDT12
GO:0007343	egg activation	0.019572726	1	1	ENSAPLT00000010287	PLCZ1
GO:0007589	body fluid secretion	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0009449	gamma-aminobutyric acid biosynthetic process	0.019572726	1	1	ENSAPLT00000007816	SLC1A3
GO:0009798	axis specification	0.019572726	1	1	ENSAPLT00000001777	unknow
GO:0010157	response to chlorate	0.019572726	1	1	ENSAPLT00000013331	PTCH1
GO:0014733	regulation of skeletal muscle adaptation	0.019572726	1	1	ENSAPLT00000007291	CMYA5
GO:0015977	carbon fixation	0.019572726	1	1	ENSAPLT00000012138	DDX4
GO:0019677	NAD catabolic process	0.019572726	1	1	ENSAPLT00000010883	NUDT12
GO:0021784	postganglionic parasympathetic fiber development	0.019572726	1	1	ENSAPLT00000010670	GDNF
GO:0021919	BMP signaling pathway involved in spinal cord dorsal/ventral patterning	0.019572726	1	1	ENSAPLT00000009928	CHRD
GO:0030167	proteoglycan catabolic process	0.019572726	1	1	ENSAPLT00000002531	ADAMTS12
GO:0030185	nitric oxide transport	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0031345	negative regulation of cell projection organization	0.019572726	1	1	ENSAPLT00000012065	SPRY2
GO:0031583	phospholipase D-activating G-protein coupled receptor signaling pathway	0.019572726	1	1	ENSAPLT00000013225	EDN1
GO:0031622	positive regulation of fever generation	0.019572726	1	1	ENSAPLT00000014480	PTGS2
GO:0031651	negative regulation of heat generation	0.019572726	1	1	ENSAPLT00000013899	ARRDC3
GO:0032482	Rab protein signal transduction	0.019572726	1	1	ENSAPLT00000013416	AATK
GO:0032730	positive regulation of interleukin-1 alpha production	0.019572726	1	1	ENSAPLT00000013725	ISL1
GO:0033007	negative regulation of mast cell activation involved in immune response	0.019572726	1	1	ENSAPLT00000011317	FER
GO:0034103	regulation of tissue remodeling	0.019572726	1	1	ENSAPLT00000006449	THBS4
GO:0034447	very-low-density lipoprotein particle clearance	0.019572726	1	1	ENSAPLT00000016235	VLDLR
GO:0035745	T-helper 2 cell cytokine production	0.019572726	1	1	ENSAPLT00000012265	IL31RA
