chrNo	Region_start	Region_end	NoofWin	Extramzvalue	MinNoSNP	MaxNoSNP	Transcipt	Overlap code	GeneID
KB742386.1	640000	740000	4	-4.05419437	29	46	"ENSAPLT00000010356,miR-4424_hsa-miR-4424,miR-5604_cin-miR-5604,miR-4773_hsa-miR-4773,novel_mir_651"	"1,1,1,1,1"	"PPP1R14C,miRNA,miRNA,miRNA,miRNA"
KB742386.1	980000	1060000	3	-4.077841168	25	30	"miR-518c-5p_hsa-miR-518c-5p,novel_mir_630,novel_mir_1052,ENSAPLT00000010514,ENSAPLT00000010984"	"1,1,1,3,4"	"miRNA,miRNA,miRNA,PLEKHG1,MTHFD1L"
KB742393.1	280000	320000	1	-4.038606777	100	100	"ENSAPLT00000008874,miR-31a_sme-miR-31a,novel_mir_668,novel_mir_1073,ENSAPLT00000008908"	"1,1,1,1,4"	"miRNA,miRNA,miRNA"
KB742424.1	1640000	1680000	1	-4.106527523	42	42	"miR-3110-5p_mmu-miR-3110-5p,ENSAPLT00000004419"	"1,3"	"miRNA,CDH2"
KB742432.1	180000	240000	2	-4.083733172	4	129	"ENSAPLT00000009446,miR-4066-5p_cin-miR-4066-5p,miR-524-5p_hsa-miR-524-5p,novel_mir_317"	"1,1,1,1"	"STX7,miRNA,miRNA,miRNA"
KB742433.1	1540000	1620000	3	-4.110072901	40	50	"miR-1556_gga-miR-1556,miR-1815_gga-miR-1815,miR-520g_mml-miR-520g,miR-4426_hsa-miR-4426,miR-737_dre-miR-737"	"1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,miRNA"
KB742438.1	100000	180000	3	-4.025314628	1	4	"miR-31b-5p_dme-miR-31b-5p,miR-1421r_oan-miR-1421r,miR-2311_bta-miR-2311,novel_mir_252,novel_mir_426,novel_mir_104,ENSAPLT00000010347"	"1,1,1,1,1,1,3"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,AACS"
KB742446.1	540000	640000	4	-4.273092404	26	44	"ENSAPLT00000001122,ENSAPLT00000002593,miR-1185-5p_hsa-miR-1185-5p,miR-892a_ppy-miR-892a,miR-1902_mmu-miR-1902,novel_mir_709,miR-3677-5p_hsa-miR-3677-5p,miR-719_mmu-miR-719,miR-876-3p_hsa-miR-876-3p,miR-4048-3p_cin-miR-4048-3p,miR-4120-5p_cin-miR-4120-5p,miR-2035*_nve-miR-2035*,miR-3200-3p_hsa-miR-3200-3p,miR-3386_bmo-miR-3386,ENSAPLT00000016529,ENSAPLT00000003443"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4"	"NMNAT2,LAMC2,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,SMG7,LAMC1"
KB742448.1	580000	640000	2	-2.170212915	7	7	"miR-430b_pma-miR-430b,ENSAPLT00000003990,ENSAPLT00000004141"	"1,7,8"	"miRNA,<71741+,>16182+MAST4"
KB742448.1	700000	740000	1	-2.048464657	26	26	"ENSAPLT00000004833,ENSAPLT00000004838,novel_mir_849,ENSAPLT00000004141"	"1,1,1,3"	"CD180,miRNA,MAST4"
KB742448.1	800000	880000	3	-2.229833255	6	10	"miR-92d*_bfl-miR-92d*,miR-1574_gga-miR-1574,miR-2464-3p_bta-miR-2464-3p,ENSAPLT00000004838,ENSAPLT00000004972"	"1,1,6,7,8"	"miRNA,miRNA,miRNA,<61367-CD180,>159592+PIK3R1"
KB742448.1	940000	1000000	2	-2.092337154	6	23	"miR-873-3p_hsa-miR-873-3p,miR-4207-3p_cin-miR-4207-3p,ENSAPLT00000004972"	"1,1,8"	"miRNA,miRNA,>39592+PIK3R1"
KB742479.1	480000	520000	1	-5.072816096	13	13	ENSAPLT00000014450	2	CDH4
KB742479.1	1940000	1980000	1	-4.611170898	2	2	"ENSAPLT00000002923,miR-1605_gga-miR-1605,ENSAPLT00000002724"	"1,1,3"	"ANKRD60,miRNA"
KB742479.1	2040000	2080000	1	-4.215253865	1	1	"miR-277b_cte-miR-277b,miR-4307_hsa-miR-4307,ENSAPLT00000002927"	"1,1,7"	"miRNA,miRNA,<47959-C20orf85"
KB742479.1	2200000	2260000	2	-4.197606905	4	7	"miR-455*_bta-miR-455*,miR-455-3p_hsa-miR-455-3p,novel_mir_8,novel_mir_350,novel_mir_682,ENSAPLT00000002933"	"1,1,1,1,1,8"	"miRNA,miRNA,miRNA,miRNA,miRNA,>36254+"
KB742487.1	0	40000	1	-2.398122519	59	59	"miR-4768-5p_hsa-miR-4768-5p,miR-2917_bta-miR-2917,miR-1257_hsa-miR-1257,miR-2365_bta-miR-2365"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB742504.1	640000	680000	1	-4.589146151	27	27	"ENSAPLT00000013716,miR-122-3p_hsa-miR-122-3p,miR-2210-5p_cel-miR-2210-5p"	"1,1,1"	"SMS,miRNA,miRNA"
KB742511.1	200000	240000	1	-4.465447306	20	20	"miR-279d-5p_tca-miR-279d-5p,miR-1421t_oan-miR-1421t,novel_mir_1020,ENSAPLT00000009357"	"1,1,1,7"	"miRNA,miRNA,miRNA,<162854+"
KB742539.1	480000	540000	2	-4.074398621	5	6	"ENSAPLT00000013324,ENSAPLT00000014055"	"1,4"	"PFKP,PITRM1"
KB742554.1	980000	1080000	4	-2.077091194	8	20	"ENSAPLT00000001020,ENSAPLT00000007358,ENSAPLT00000007543,ENSAPLT00000008208,novel_mir_20,ENSAPLT00000007259"	"1,1,1,1,1,3"	"ENC1,NSA2,GFM2,HEXB,miRNA,FAM169A"
KB742554.1	1280000	1320000	1	-2.045085856	24	24	"novel_mir_15,miR-279_lgi-miR-279,ENSAPLT00000008616"	"1,1,8"	"miRNA,miRNA,>89161-ARHGEF28"
KB742554.1	1340000	1380000	1	-2.127671561	11	11	"let-7f-2-3p_hsa-let-7f-2-3p,miR-3142_hsa-miR-3142,ENSAPLT00000008616"	"1,1,8"	"miRNA,miRNA,>29161-ARHGEF28"
KB742554.1	1420000	1480000	2	-2.336552919	9	23	"novel_mir_166,novel_mir_1226,ENSAPLT00000008616"	"1,1,2"	"miRNA,miRNA,ARHGEF28"
KB742554.1	2120000	2160000	1	-2.102458024	33	33	"miR-194_pma-miR-194,ENSAPLT00000011058"	"1,3"	"miRNA,MRPS27"
KB742554.1	2680000	2720000	1	-2.165284883	1	1	"ENSAPLT00000014307,miR-4769-5p_hsa-miR-4769-5p,miR-2265_ppc-miR-2265,ENSAPLT00000014033"	"1,1,1,4"	"miRNA,miRNA"
KB742561.1	100000	140000	1	-2.459442705	7	7	"miR-1749_gga-miR-1749,miR-1419e_oan-miR-1419e"	"1,1"	"miRNA,miRNA"
KB742561.1	160000	240000	3	-2.113515791	1	5	"miR-7-5p_dme-miR-7-5p,ENSAPLT00000013115"	"1,8"	"miRNA,>148237-"
KB742561.1	960000	1000000	1	-2.429938273	59	59	"ENSAPLT00000013313,ENSAPLT00000013314"	"3,3"	"PIK3C3,PIK3C3"
KB742590.1	1100000	1180000	3	-4.272230239	45	54	"miR-3421_bmo-miR-3421,novel_mir_994,miR-2475_bta-miR-2475"	"1,1,1"	"miRNA,miRNA,miRNA"
KB742590.1	1520000	1640000	5	-4.015045929	15	71	"let-7j_dre-let-7j,miR-3020_api-miR-3020,miR-4701-3p_hsa-miR-4701-3p,ENSAPLT00000017151"	"1,1,1,4"	"miRNA,miRNA,miRNA,TENM3"
KB742597.1	440000	480000	1	-4.904523576	2	2	"ENSAPLT00000001984,ENSAPLT00000003157,novel_mir_1101,miR-1834-3p_cel-miR-1834-3p,miR-883b-5p_mmu-miR-883b-5p,novel_mir_494,ENSAPLT00000002782,ENSAPLT00000003658,miR-150_bta-miR-150,miR-150-5p_mmu-miR-150-5p"	"1,1,1,1,1,1,3,4,6,6"	"M6PR,miRNA,miRNA,miRNA,miRNA,PHC1,miRNA,miRNA"
KB742602.1	360000	400000	1	-4.665596005	7	7	"novel_mir_24,ENSAPLT00000011920"	"1,3"	"miRNA,FBXO4"
KB742617.1	1460000	1520000	2	-4.175753036	22	23	"ENSAPLT00000003084,miR-130c_ola-miR-130c,miR-130e_pma-miR-130e,miR-4742-3p_hsa-miR-4742-3p,miR-1674_gga-miR-1674,ENSAPLT00000003130"	"1,1,1,1,1,4"	"FGF6,miRNA,miRNA,miRNA,miRNA,C12orf4"
KB742639.1	1000000	1040000	1	-4.107861412	70	70	"ENSAPLT00000001762,novel_mir_566,miR-4098-3p_cin-miR-4098-3p,miR-327_mmu-miR-327,ENSAPLT00000011999"	"1,1,1,1,4"	"miRNA,miRNA,miRNA,MRAP2"
KB742648.1	280000	340000	2	-4.029423331	29	29	"ENSAPLT00000016377,miR-61b-5p_sme-miR-61b-5p"	"1,5"	miRNA
KB742648.1	1000000	1040000	1	-4.13309135	26	26			
KB742648.1	1180000	1240000	2	-4.109552645	20	34	"novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742652.1	1000000	1080000	3	-2.082000495	25	31	"miR-1733_gga-miR-1733,miR-3811b-5p_tca-miR-3811b-5p,ENSAPLT00000013611"	"1,1,8"	"miRNA,miRNA,>95629-TMEM38B"
