ChrNo	Region_start	Region_end	NoofWin	Extram zvalue	MinNoSNP	MaxNoSNP	Transcipt	Overlap code	GeneID
KB742386.1	50000	70000	1	-7.360557978	23	23	"miR-4441_hsa-miR-4441,miR-5045_gpy-miR-5045,ENSAPLT00000008063"	"1,1,2"	"miRNA,miRNA,SASH1"
KB742387.1	70000	90000	1	-2.022294256	43	43	"miR-882_mmu-miR-882,miR-214-3p_hsa-miR-214-3p,ENSAPLT00000010063"	"1,1,3"	"miRNA,miRNA,ELOVL7"
KB742387.1	160000	180000	1	-1.774751891	62	62	"miR-2957_bta-miR-2957,miR-2953-5p_cel-miR-2953-5p,ENSAPLT00000010121,ENSAPLT00000010194"	"1,5,7,8"	"miRNA,miRNA,<3819-ERCC8,>9281+NDUFAF2"
KB742387.1	290000	310000	1	-1.698657912	70	70	"miR-3090-5p_mmu-miR-3090-5p,novel_mir_670,ENSAPLT00000010194"	"1,1,7"	"miRNA,miRNA,<79765+NDUFAF2"
KB742394.1	80000	100000	1	-4.095743214	147	147	"ENSAPLT00000004354,ENSAPLT00000004421,miR-549_hsa-miR-549,miR-1379_oan-miR-1379"	"1,1,1,1"	"STUB1,WDR24,miRNA,miRNA"
KB742398.1	100000	120000	1	-4.297610277	103	103			
KB742404.1	2820000	2840000	1	-4.233847217	64	64	"miR-4013a-5p_cin-miR-4013a-5p,ENSAPLT00000000847"	"1,7"	"miRNA,<152647-"
KB742409.1	450000	480000	2	-1.514863138	114	117	"miR-3392_bmo-miR-3392,novel_mir_261,novel_mir_1026,novel_mir_701,novel_mir_850,ENSAPLT00000012786"	"1,1,1,1,1,7"	"miRNA,miRNA,miRNA,miRNA,miRNA,<30551+"
KB742414.1	910000	930000	1	-6.350015673	19	19	ENSAPLT00000013019	7	<33958-ABLIM3
KB742433.1	2280000	2300000	1	-4.157522971	121	121	"miR-5594-5p_cel-miR-5594-5p,ENSAPLT00000000298"	"6,8"	"miRNA,>110412-U1"
KB742433.1	2640000	2660000	1	-4.004883583	57	57	"miR-4066-3p_cin-miR-4066-3p,miR-4086-3p_cin-miR-4086-3p"	"1,1"	"miRNA,miRNA"
KB742433.1	3030000	3050000	1	-4.142258788	56	56			
KB742438.1	80000	100000	1	-5.986197065	24	24	"miR-2218a-5p_cel-miR-2218a-5p,miR-4715-5p_hsa-miR-4715-5p,miR-222b*_oan-miR-222b*,miR-1805*_tgu-miR-1805*,miR-1805-5p_gga-miR-1805-5p,ENSAPLT00000010347"	"1,1,1,1,1,2"	"miRNA,miRNA,miRNA,miRNA,miRNA,AACS"
KB742439.1	10000	30000	1	-4.00814904	88	88	miR-1422m*_oan-miR-1422m*	1	miRNA
