ChrNo	Region_start	Region_end	NoofWin	Extram zvalue	MinNoSNP	MaxNoSNP	Transcipt	Overlap code	GeneID
KB742386.1	50000	70000	1	-6.16795111744	23	23	miR-4441_hsa-miR-4441,miR-5045_gpy-miR-5045,ENSAPLT00000008063	1,1,2	miRNA,miRNA,SASH1
KB742387.1	70000	90000	1	-4.18594476881	42	42	miR-882_mmu-miR-882,miR-214-3p_hsa-miR-214-3p,ENSAPLT00000010063	1,1,3	miRNA,miRNA,ELOVL7
KB742396.1	30000	50000	1	-5.09059268656	25	25	novel_mir_582,novel_mir_1220,ENSAPLT00000012447	1,1,7	miRNA,miRNA,<3659+UGCG
KB742409.1	170000	190000	1	-4.39172480055	87	87	miR-1728-3p_gga-miR-1728-3p,miR-11-3p_tca-miR-11-3p,ENSAPLT00000012786	1,1,4	miRNA,miRNA
KB742409.1	290000	310000	1	-4.0317279737	68	68	ENSAPLT00000012786	2	
KB742414.1	910000	930000	1	-5.30785337078	19	19	ENSAPLT00000013019	7	<33958-ABLIM3
KB742438.1	80000	100000	1	-4.9981982843	24	24	miR-2218a-5p_cel-miR-2218a-5p,miR-4715-5p_hsa-miR-4715-5p,miR-222b*_oan-miR-222b*,miR-1805*_tgu-miR-1805*,miR-1805-5p_gga-miR-1805-5p,ENSAPLT00000010347	1,1,1,1,1,2	miRNA,miRNA,miRNA,miRNA,miRNA,AACS
KB742439.1	80000	100000	1	-4.37875100431	65	65	miR-1483-5p_odi-miR-1483-5p	1	miRNA
KB742439.1	440000	470000	2	-6.85914332078	67	72	ENSAPLT00000000106	7	<19769+U6
KB742439.1	530000	550000	1	-4.47314379947	73	73	ENSAPLT00000000106	7	<109769+U6
KB742439.1	940000	960000	1	-4.0719803884	81	81	ENSAPLT00000012065	8	>27842+SPRY2
KB742448.1	370000	400000	2	-4.09309706494	58	59	miR-548q_hsa-miR-548q,ENSAPLT00000003990	1,6	miRNA
KB742448.1	420000	460000	3	-5.41850797583	67	79	miR-1487_odi-miR-1487,ENSAPLT00000003990	1,2	miRNA
KB742448.1	520000	600000	7	-4.76991386752	42	60	miR-5341_rmi-miR-5341,miR-3-3p_dme-miR-3-3p,miR-430b_pma-miR-430b,ENSAPLT00000003990,ENSAPLT00000004141	1,1,1,7,8	miRNA,miRNA,miRNA,<11741+,>56182+MAST4
KB742448.1	610000	630000	1	-5.39047424774	27	27	ENSAPLT00000003990,ENSAPLT00000004141	7,8	<101741+,>26182+MAST4
KB742448.1	680000	700000	1	-5.57595964675	28	28	ENSAPLT00000004141	2	MAST4
KB742448.1	760000	800000	3	-4.54009235578	10	69	miR-4697-5p_hsa-miR-4697-5p,novel_mir_930,ENSAPLT00000004838	1,1,7	miRNA,miRNA,<21367-CD180
KB742448.1	830000	850000	1	-5.54591134713	53	53	miR-92d*_bfl-miR-92d*,ENSAPLT00000004838	1,7	miRNA,<91367-CD180
KB742448.1	910000	930000	1	-4.32023815861	58	58	ENSAPLT00000004838,ENSAPLT00000004972	7,8	<171367-CD180,>109592+PIK3R1
KB742448.1	1360000	1460000	8	-4.03933539595	53	155	ENSAPLT00000006027,miR-1016-5p_dme-miR-1016-5p,miR-548e_hsa-miR-548e,miR-1487_odi-miR-1487,miR-2786_bmo-miR-2786,novel_mir_147,miR-241-3p_cel-miR-241-3p,miR-241-3p_cel-miR-241-3p,ENSAPLT00000005987,ENSAPLT00000006449	1,1,1,1,1,1,1,1,3,4	SERINC5,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,CDK7,THBS4
KB742448.1	1550000	1590000	3	-4.40475629182	58	108	novel_mir_134,ENSAPLT00000007291	1,3	miRNA,CMYA5
KB742448.1	1980000	2000000	1	-5.39780828161	74	74	miR-5110_mmu-miR-5110,ENSAPLT00000009736	1,3	miRNA,ARSB
KB742459.1	60000	100000	3	-4.48589128739	19	32	ENSAPLT00000010126,ENSAPLT00000010574	7,8	<1897+RIBC2,>17928+FBLN1
KB742459.1	320000	340000	1	-4.52933626847	23	23	miR-1495_odi-miR-1495,ENSAPLT00000010866	1,3	miRNA,ATXN10
KB742459.1	580000	610000	2	-4.12154504112	19	20	ENSAPLT00000011034	7	<55736-WNT7B
KB742459.1	2060000	2080000	1	-5.53759194999	21	21	miR-301b-5p_ola-miR-301b-5p,ENSAPLT00000013845	1,8	miRNA,>13796-
KB742459.1	2140000	2160000	1	-4.31874879132	26	26	miR-4666a-5p_hsa-miR-4666a-5p,ENSAPLT00000013845,ENSAPLT00000013856	1,7,8	miRNA,<41433-,>130476-
KB742459.1	2460000	2480000	1	-4.40229886029	28	28	miR-5436-3p_aca-miR-5436-3p,ENSAPLT00000014020	1,3	miRNA,KLHL42
KB742484.1	480000	500000	1	-4.2113019823	49	49	ENSAPLT00000012030	8	>48352-FAM84A
KB742484.1	730000	750000	1	-4.19846732704	60	60			
KB742484.1	800000	820000	1	-5.60661354927	52	52	miR-468-3p_mmu-miR-468-3p	1	miRNA
KB742513.1	2170000	2190000	1	-4.34964049312	131	131	ENSAPLT00000016966,ENSAPLT00000016974	1,4	DLX6,DLX5
KB742539.1	1720000	1740000	1	-4.70742459161	41	41	miR-2997_tgu-miR-2997,miR-3112-3p_mmu-miR-3112-3p	1,5	miRNA,miRNA
KB742554.1	170000	210000	2	-4.80013295131	56	65	ENSAPLT00000001014,miR-3189-3p_hsa-miR-3189-3p,miR-215*_aca-miR-215*,miR-378e_hsa-miR-378e,ENSAPLT00000003170	1,1,1,1,4	F2R,miRNA,miRNA,miRNA,IQGAP2
KB742554.1	250000	270000	1	-4.42109096912	73	73	ENSAPLT00000003170	3	IQGAP2
KB742554.1	390000	410000	1	-4.91324368565	86	86	ENSAPLT00000004610	2	SV2C
KB742554.1	1110000	1130000	1	-5.76287202408	77	77	ENSAPLT00000001020	7	<40599+ENC1
KB742554.1	1220000	1250000	2	-5.46960311262	78	104	miR-4204-3p_cin-miR-4204-3p,ENSAPLT00000001020,ENSAPLT00000008616	1,7,8	miRNA,<150599+ENC1,>159161-ARHGEF28
KB742554.1	1290000	1310000	1	-5.04425829691	76	76	novel_mir_15,ENSAPLT00000008616	1,8	miRNA,>99161-ARHGEF28
KB742554.1	1570000	1590000	1	-4.56619868107	51	51	miR-697_mmu-miR-697,ENSAPLT00000009448,ENSAPLT00000009473	1,7,8	miRNA,<6198-,>134540-TMEM174
KB742554.1	1690000	1710000	1	-4.12845498089	114	114	ENSAPLT00000009448,ENSAPLT00000009473	7,8	<126198-,>14540-TMEM174
KB742554.1	1860000	1880000	1	-4.58348898671	49	49	miR-878-5p_mmu-miR-878-5p,ENSAPLT00000010077	1,4	miRNA
KB742554.1	2080000	2100000	1	-4.55016814044	101	101	miR-30d*_aca-miR-30d*,miR-30d-3p_hsa-miR-30d-3p,ENSAPLT00000010766	1,1,4	miRNA,miRNA,PTCD2
KB742554.1	2130000	2190000	4	-4.6873240185	33	89	ENSAPLT00000011268,miR-194_pma-miR-194,miR-3153_hsa-miR-3153,ENSAPLT00000011058	1,1,1,3	miRNA,miRNA,MRPS27
KB742554.1	2240000	2260000	1	-4.06778122324	96	96	ENSAPLT00000011268,ENSAPLT00000011432	7,8	<54532-,>102973+TMEM252
KB742554.1	2300000	2340000	3	-4.57185003663	79	140	novel_mir_1226,ENSAPLT00000011268,ENSAPLT00000011432	1,7,8	miRNA,<114532-,>22973+TMEM252
KB742554.1	2460000	2480000	1	-5.47429636298	105	105	ENSAPLT00000012737	4	
KB742554.1	2530000	2560000	2	-4.22870901085	65	81	miR-5101_mmu-miR-5101,miR-750-5p_sme-miR-750-5p,ENSAPLT00000013317	1,1,2	miRNA,miRNA,DOCK8
KB742554.1	2570000	2600000	2	-4.4390627718	52	79	miR-1806_gga-miR-1806,miR-5435c-5p_aca-miR-5435c-5p,ENSAPLT00000013317	1,1,2	miRNA,miRNA,DOCK8
KB742554.1	2850000	2880000	2	-4.35702328681	39	70	ENSAPLT00000014443,miR-215*_aca-miR-215*	1,1	DMRT2,miRNA
KB742554.1	2930000	2960000	2	-4.67843107487	45	57	ENSAPLT00000014443	7	<71113+DMRT2
KB742554.1	2970000	2990000	1	-4.92874250892	51	51	ENSAPLT00000014443,ENSAPLT00000014555	7,8	<111113+DMRT2,>171074+SMARCA2
KB742554.1	3150000	3170000	1	-5.0466798492	74	74	miR-5580-3p_hsa-miR-5580-3p,ENSAPLT00000014555	1,4	miRNA,SMARCA2
KB742554.1	3220000	3240000	1	-4.67810476654	98	98	ENSAPLT00000014555	2	SMARCA2
KB742554.1	3300000	3330000	2	-4.55712714093	145	168	ENSAPLT00000014555,ENSAPLT00000016235	7,8	<27763+SMARCA2,>69292+VLDLR
KB742554.1	3480000	3500000	1	-4.75342186651	55	55	ENSAPLT00000003010	3	KIAA0020
KB742561.1	0	20000	1	-5.15149008416	59	59	miR-2464-3p_bta-miR-2464-3p	1	miRNA
KB742561.1	230000	250000	1	-5.02921765475	80	80	miR-7-5p_dme-miR-7-5p,ENSAPLT00000013115	1,8	miRNA,>138237-
KB742561.1	770000	790000	1	-4.80334082324	65	65	novel_mir_1226,ENSAPLT00000000440,ENSAPLT00000013313	1,7,8	miRNA,<158180+U4,>141481+PIK3C3
KB742561.1	800000	820000	1	-4.41193906571	101	101	ENSAPLT00000013313	8	>111481+PIK3C3
KB742567.1	0	20000	1	-7.52950861759	81	81			
