chrNo	Region_start	Region_end	NoofWin	Extram zvalue	MinNoSNP	MaxNoSNP	Transcipt	Overlap code	GeneID
KB742386.1	1100000	1140000	1	4.399808136	1612	1612	"ENSAPLT00000012286,miR-125b-2-3p_hsa-miR-125b-2-3p,miR-250-3p_cel-miR-250-3p,miR-4878_bfl-miR-4878,miR-3487_sja-miR-3487"	"1,1,1,1,6"	"miRNA,miRNA,miRNA,miRNA"
KB742438.1	0	40000	1	4.881171447	275	275	"miR-1964-3p_mmu-miR-1964-3p,miR-3897-3p_tca-miR-3897-3p,miR-129b*_aca-miR-129b*,miR-129b*_aca-miR-129b*,miR-4175-3p_cin-miR-4175-3p,miR-920_mml-miR-920,miR-1561_gga-miR-1561,miR-4940-5p_dme-miR-4940-5p,miR-920_mml-miR-920,miR-4175-3p_cin-miR-4175-3p,ENSAPLT00000010012"	"1,1,1,1,1,1,1,1,1,1,6"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,DHX37"
KB742446.1	660000	700000	1	4.135470741	1177	1177	"miR-4000g-5p_cin-miR-4000g-5p,novel_mir_1077,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,ENSAPLT00000003443,ENSAPLT00000004292"	"1,1,1,1,1,1,1,1,3,4"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,LAMC1,NPL"
KB742448.1	520000	740000	9	2.009046267	301	525	"ENSAPLT00000004141,ENSAPLT00000004833,ENSAPLT00000004838,miR-5341_rmi-miR-5341,miR-3-3p_dme-miR-3-3p,miR-430b_pma-miR-430b,miR-4946-5p_dme-miR-4946-5p,miR-4794_hsa-miR-4794,miR-4727-3p_hsa-miR-4727-3p,novel_mir_849"	"1,1,1,1,1,1,1,1,1,1"	"MAST4,CD180,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742448.1	800000	860000	2	2.052268365	664	695	"miR-92d*_bfl-miR-92d*,ENSAPLT00000004838,ENSAPLT00000004972"	"1,7,8"	"miRNA,<61367-CD180,>179592+PIK3R1"
KB742453.1	20000	60000	1	4.114342552	210	210	miR-4875a-5p_bfl-miR-4875a-5p	1	miRNA
KB742459.1	20000	100000	2	4.802178836	121	175	"ENSAPLT00000010126,miR-2475_bta-miR-2475,ENSAPLT00000009237"	"1,1,3"	"RIBC2,miRNA,SMC1B"
KB742459.1	260000	320000	2	4.310180482	179	182	"miR-1422k-5p_oan-miR-1422k-5p,miR-190a-5p_sme-miR-190a-5p,ENSAPLT00000010866"	"1,1,2"	"miRNA,miRNA,ATXN10"
KB742459.1	1000000	1080000	3	5.427669494	92	122	"ENSAPLT00000001490,ENSAPLT00000011353,ENSAPLT00000011358,ENSAPLT00000011412,novel_mir_885,miR-4734_hsa-miR-4734,miR-239b_crm-miR-239b,miR-513e_age-miR-513e,ENSAPLT00000011861"	"1,1,1,1,1,1,1,1,4"	"PKDREJ,PKDREJ,TTC38,miRNA,miRNA,miRNA,miRNA,ZC3HAV1"
KB742544.1	0	40000	1	4.893917397	831	831	"ENSAPLT00000002273,ENSAPLT00000013098,novel_mir_221,novel_mir_23,novel_mir_527,novel_mir_221,novel_mir_23,novel_mir_527"	"1,1,1,1,1,1,1,1"	"MRPL17,CCBE1,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742544.1	460000	500000	1	4.926384555	832	832	"ENSAPLT00000013859,miR-962-5p_dme-miR-962-5p,miR-593-3p_hsa-miR-593-3p,miR-2733d_bmo-miR-2733d,miR-743a-3p_mmu-miR-743a-3p,ENSAPLT00000013664"	"1,1,1,1,1,3"	"miRNA,miRNA,miRNA,miRNA,MTMR12"
KB742554.1	2140000	2180000	1	3.169746431	577	577	"ENSAPLT00000011058,ENSAPLT00000011268,miR-194_pma-miR-194,miR-3153_hsa-miR-3153"	"3,4,5,6"	"MRPS27,miRNA,miRNA"
KB742554.1	2300000	2340000	1	2.050332516	884	884	"novel_mir_1226,ENSAPLT00000011268,ENSAPLT00000011432"	"1,7,8"	"miRNA,<114532-,>22973+TMEM252"
KB742554.1	2620000	2720000	4	2.061405448	860	936	"ENSAPLT00000014307,novel_mir_213,novel_mir_413,miR-4132-5p_cin-miR-4132-5p,miR-4769-5p_hsa-miR-4769-5p,miR-2265_ppc-miR-2265,ENSAPLT00000014033"	"1,1,1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,miRNA"
KB742554.1	2740000	2840000	4	2.224390872	692	859	"ENSAPLT00000014314,ENSAPLT00000014430,novel_mir_984,ENSAPLT00000014033"	"1,1,1,3"	"DMRT1,DMRT3,miRNA"
KB742561.1	220000	280000	2	2.044655511	410	453	"miR-7-5p_dme-miR-7-5p,miR-1958_mmu-miR-1958,miR-995-3p_dme-miR-995-3p,miR-4650-5p_hsa-miR-4650-5p,ENSAPLT00000013115"	"1,1,1,1,8"	"miRNA,miRNA,miRNA,miRNA,>108237-"
KB742573.1	460000	500000	1	2.371866925	812	812	"miR-1419f*_oan-miR-1419f*,miR-1504_odi-miR-1504,miR-4771_hsa-miR-4771,ENSAPLT00000014971"	"1,1,1,4"	"miRNA,miRNA,miRNA,IDNK"
